Event id;Event start date;Event stop date;Venue name;Event name;Venue address;Venue city;Venue state;Postal code;Latitude;Longitude;Cancelled
E0-001-092481947-9;2016-09-10 17:00:00;;B.B. King Blues Club and Grill;EMPIRE BEATS - Rock, Roll & Soul Rhythm & Blues Revue - Glamorous jazz chanteuses and gutsy blues shouters explore an expanding book of Rock/Roll&Soul music ~ familiar and forgotten hits from the past and funky new originals. - 5PM SHOW;237 W 42nd Street;New York;NY;10036;40.7566714;-73.9884173;
E0-001-092463314-3;2016-09-10 17:00:00;;B.B. King Blues Club and Grill;EMPIRE BEATS: Rock, Roll & Soul Rhythm & Blues Revue;237 W 42nd Street;New York;NY;10036;40.7566714;-73.9884173;
E0-001-089459934-0;2016-09-10 16:00:00;;Vassar College;Soccer (M) VC Classic: SUNY New Paltz vs. Elms College;124 Raymond Ave;Poughkeepsie;NY;12604-0002;41.6860392;-73.8949169;
E0-001-089459930-4;2016-09-10 14:00:00;;Vassar College;Soccer (M) VC Classic: Vassar vs. William Paterson University;124 Raymond Ave;Poughkeepsie;NY;12604-0002;41.6860392;-73.8949169;
E0-001-092924355-6;2016-09-10 13:01:00;;Yankee Stadium;PARKING PASSES ONLY Rays at Yankees;One East 161st Street;Bronx;NY;10456;40.8291892;-73.9264926;
E0-001-090834891-7;2016-09-10 13:00:00;;Gillette Stadium;Boston College Eagles at Massachusetts Minutemen Football;1 Patriot Place;Foxboro;MA;02035;42.0935165;-71.2615157;
E0-001-090388427-4;2016-09-10 12:00:00;;Yankee Stadium;New York Yankees vs. Tampa Bay Rays;One East 161st Street;Bronx;NY;10456;40.8291892;-73.9264926;
E0-001-093054054-3;2016-09-10 12:00:00;;University of Rochester;Football vs. Catholic;240 Wallis Hall;Rochester;NY;14627;43.1285832;-77.6253852;
E0-001-089783335-1;2016-09-10 12:00:00;;Vassar College;Field Hockey (W) vs. SUNY Brockport;124 Raymond Ave;Poughkeepsie;NY;12604-0002;41.6860392;-73.8949169;
E0-001-092894083-8;2016-09-10 10:00:00;;Webster Bank Arena (formerly Arena at Harbor Yard);Connecticut Pet Expo - Amazing Pet Expos;600 Main Street;Bridgeport;CT;06604;41.1828225;-73.1810042;
E0-001-091881543-6;2016-09-10 10:00:00;;Bryant Park;Singles Final Petanque Tournament;40th Street at Sixth Avenue;New York;NY;10036;40.7535540;-73.9850430;
E0-001-087324194-3;2016-09-10 10:00:00;;University of Rochester;Clothesline Festival;240 Wallis Hall;Rochester;NY;14627;43.1285832;-77.6253852;
E0-001-090592090-5;2016-09-10 10:00:00;;Rochester Riverside Convention Center;Various Vendors;123 East Main St.;Rochester;NY;;43.1557570;-77.6091680;
E0-001-090741054-5;2016-09-10 09:30:00;;Vassar College;Cross Country (M/W) Ron Stonitsch Invitational;124 Raymond Ave;Poughkeepsie;NY;12604-0002;41.6860392;-73.8949169;
E0-001-090381803-1;2016-09-10 09:00:00;;Vassar College;Volleyball(W) VC Invitational;124 Raymond Ave;Poughkeepsie;NY;12604-0002;41.6860392;-73.8949169;
E0-001-092998219-6@2016091008;2016-09-10 08:00:00;;Buffalo Niagara Convention Center;Buffalo Fitness Expo Open/NY State Olympic Weightlifting Championships;153 Franklin St;Buffalo;NY;14202;42.8918186;-78.8747346;
E0-001-091894206-8;2016-09-10 00:00:00;2016-09-11 00:00:00;Connecticut Convention Center;Townsquare Moms;100 Columbus Boulevard;Hartford;CT;06105;41.7637739;-72.6696529;
E0-001-057071018-6;2016-09-10 00:00:00;2016-09-11 00:00:00;Connecticut Convention Center;Connecticut Women Expo;100 Columbus Boulevard;Hartford;CT;06105;41.7637739;-72.6696529;
E0-001-089606744-7;2016-09-10 00:00:00;;Yankee Stadium;Yankee Stadium Tours;One East 161st Street;Bronx;NY;10456;40.8291892;-73.9264926;
