Week,Year,State,Prevalence
50,2015,MA,Local Activity
50,2015,VT,Sporadic
50,2015,NH,Local Activity
50,2015,ME,Sporadic
49,2015,AK,Sporadic
49,2015,OR,Sporadic
49,2015,WA,Sporadic
49,2015,ID,Local Activity
49,2015,GU,Widespread
49,2015,HI,Sporadic
49,2015,CA,Sporadic
49,2015,NV,Local Activity
49,2015,AZ,Local Activity
49,2015,UT,Local Activity
49,2015,CO,Sporadic
49,2015,WY,Sporadic
49,2015,MT,Sporadic
49,2015,SD,Sporadic
49,2015,ND,Sporadic
49,2015,KS,Sporadic
49,2015,NE,Sporadic
49,2015,MO,Sporadic
49,2015,IA,Local Activity
49,2015,NM,Sporadic
49,2015,TX,Local Activity
49,2015,OK,Sporadic
49,2015,LA,Sporadic
49,2015,AR,Sporadic
49,2015,MN,Sporadic
49,2015,WI,Sporadic
49,2015,MI,Sporadic
49,2015,IL,Sporadic
49,2015,IN,Sporadic
49,2015,OH,Sporadic
49,2015,MS,No Activity
49,2015,AL,Local Activity
49,2015,TN,Sporadic
49,2015,KY,Local Activity
49,2015,FL,Sporadic
49,2015,GA,Sporadic
49,2015,SC,Sporadic
49,2015,NC,Local Activity
49,2015,WV,Sporadic
49,2015,VA,Sporadic
49,2015,DC,Sporadic
49,2015,MD,Regional
49,2015,DE,No Activity
49,2015,PA,Sporadic
49,2015,VI,Sporadic
49,2015,PR,Regional
49,2015,NJ,Local Activity
49,2015,NY,Sporadic
49,2015,CT,Local Activity
49,2015,RI,No Activity
49,2015,MA,Local Activity
49,2015,VT,Sporadic
49,2015,NH,Regional
49,2015,ME,Sporadic
48,2015,AK,Sporadic
48,2015,OR,Local Activity
48,2015,WA,Sporadic
48,2015,ID,Sporadic
48,2015,GU,Widespread
48,2015,HI,Sporadic
48,2015,CA,Sporadic
48,2015,NV,Local Activity
48,2015,AZ,Sporadic
48,2015,UT,Sporadic
48,2015,CO,Sporadic
48,2015,WY,Sporadic
48,2015,MT,Sporadic
48,2015,SD,Sporadic
48,2015,ND,Sporadic
48,2015,KS,Sporadic
48,2015,NE,Sporadic
48,2015,MO,Sporadic
48,2015,IA,Local Activity
48,2015,NM,Sporadic
48,2015,TX,Local Activity
48,2015,OK,Sporadic
48,2015,LA,Sporadic
48,2015,AR,Sporadic
48,2015,MN,Sporadic
48,2015,WI,Sporadic
48,2015,MI,Sporadic
48,2015,IL,Sporadic
